r0_m,T0_K,n0,u0_mps,Q_kgps,zmax_m,ok
70.0,1273.0,0.04,55.7913427153955,3358743.7984519633,12151.126278532798,False
60.0,1273.0,0.03,63.424560148591524,3738404.464571653,12370.08226599378,False
80.0,1373.0,0.04,52.66330895708478,3839789.9890112653,12672.811110099152,False
80.0,1173.0,0.05,57.150414168754104,3902344.312668924,12174.830061982362,False
70.0,1173.0,0.04,64.1170572141528,4188499.225671868,12318.165669690134,False
70.0,1373.0,0.03,61.31887880587601,4561823.102950959,13062.168932339238,False
60.0,1173.0,0.03,71.94086815257157,4601082.57233016,12514.156800831475,False
80.0,1273.0,0.04,59.95533369890802,4714349.570453036,12861.804664004652,False
80.0,1073.0,0.05,67.37492966615872,5028640.49800485,12350.2638843584,False
70.0,1073.0,0.04,74.5133090999142,5320482.853675905,12461.495706610838,False
70.0,1273.0,0.03,68.86446525954716,5524812.980308612,13237.325545212443,False
60.0,1073.0,0.03,82.52088823717449,5768431.488455443,12625.199997468982,False
80.0,1173.0,0.04,68.83418428427015,5873174.741251327,13044.428212725124,False
80.0,1373.0,0.03,65.86545909737961,6400086.625876245,13925.906263379553,False
70.0,1173.0,0.03,78.01292467121502,6791168.276887024,13389.973179145245,False
80.0,1073.0,0.04,79.85073389061864,7446976.8409257475,13194.79119373883,False
80.0,1273.0,0.03,73.90264276516106,7744016.415643152,14120.669684395943,False
70.0,1073.0,0.03,89.25564856489166,8492257.10889041,13506.664112571214,False
80.0,1173.0,0.03,83.57605723562287,9502627.496679017,14289.124815400673,False
80.0,1073.0,0.03,95.42390667923719,11858465.948277239,14416.869493694707,False
10.0,1073.0,0.03,,,8052.444978762641,False
10.0,1073.0,0.04,,,7298.243468772359,False
10.0,1073.0,0.05,,,6770.965360848579,False
10.0,1173.0,0.03,,,8309.893312623184,False
10.0,1173.0,0.04,,,7527.7941155473045,False
10.0,1173.0,0.05,,,6982.004288314246,False
10.0,1273.0,0.03,,,8515.40441951893,False
10.0,1273.0,0.04,,,7712.397662633308,False
10.0,1273.0,0.05,,,7153.521976180236,False
10.0,1373.0,0.03,,,8682.409220205527,False
10.0,1373.0,0.04,,,7865.860730801128,False
10.0,1373.0,0.05,,,7295.055427482607,False
20.0,1073.0,0.03,,,11165.629569664614,False
20.0,1073.0,0.04,,,10685.240490742372,False
20.0,1073.0,0.05,,,10300.58961431265,False
20.0,1173.0,0.03,,,11303.832134889748,False
20.0,1173.0,0.04,,,10823.89273198096,False
20.0,1173.0,0.05,,,10446.06390657672,False
20.0,1273.0,0.03,,,11413.831732371034,False
20.0,1273.0,0.04,,,10930.570292055592,False
20.0,1273.0,0.05,,,10557.044377357879,False
20.0,1373.0,0.03,,,11503.749922291536,False
20.0,1373.0,0.04,,,11016.099343725997,False
20.0,1373.0,0.05,,,10645.376032283073,False
30.0,1073.0,0.05,,,11702.492998922213,False
30.0,1173.0,0.05,,,11849.030966780461,False
30.0,1273.0,0.05,,,11966.849558191487,False
