Pressure_hPa,Altitude_m,WindSpeed_mps,WindDirection_deg,Temperature_K
1000.0,220.08047,1.3955612,128.0322,283.84415
975.0,430.18402,1.6195077,129.63947,281.92892
950.0,644.1091,1.7151766,137.41614,279.76447
925.0,862.1696,1.7276347,158.88495,277.85602
900.0,1084.853,1.8856016,195.68875,276.5376
850.0,1547.2108,2.990713,248.37787,275.73608
800.0,2035.1492,4.3851595,263.57925,273.80957
750.0,2550.3328,6.2959924,270.8103,271.373
700.0,3095.9907,8.575177,274.2472,268.72556
650.0,3676.4077,11.502628,276.1528,265.94327
600.0,4296.324,14.886087,276.1663,262.78452
550.0,4961.0645,18.448856,276.09732,258.8716
500.0,5677.1577,22.546728,276.45172,254.30608
450.0,6454.072,29.037992,275.68835,249.51411
400.0,7306.2656,38.027576,274.6824,244.80322
350.0,8253.077,48.233906,274.21265,239.71382
300.0,9321.814,58.833553,273.85626,233.90446
250.0,10551.185,66.83156,271.76996,226.72319
200.0,12004.911,69.87352,267.94565,218.5101
150.0,13810.777,66.003746,265.393,210.90337
100.0,16274.633,49.937183,262.23138,205.20215
70.0,18410.385,32.366272,265.07245,204.32156
50.0,20427.982,21.382174,265.14093,205.95688
30.0,23570.566,15.187159,259.19913,215.3
20.0,26169.281,14.064031,249.95648,221.9
10.0,30737.191,17.504923,254.89384,228.9
5.0,35483.88,25.392263,265.9599,239.80005
1.0,47629.934,34.30541,270.1048,271.82898
